id,source_language,target_language,source,target,domain
113,en,ht,There was a minor incident.,Te gen yon ti ensidan.,education
114,en,ht,The situation is under control.,Sitiyasyon an anba kontwòl.,education
115,en,ht,Emergency procedures were followed.,Nou swiv pwosedi ijans yo.,education
116,en,ht,Please do not come to the school.,Tanpri pa vini lekòl la.,education
117,en,ht,We will update you shortly.,N ap ba ou nouvèl byento.,education
118,en,ht,Thank you for your patience.,Mèsi pou pasyans ou.,education
119,en,ht,This message is for parents.,Mesaj sa a pou paran.,education
120,en,ht,This applies to all students.,Sa konsène tout elèv.,education
121,en,ht,School supplies are needed.,Founiti lekòl nesesè.,education
122,en,ht,Please label your child’s items.,Tanpri make bagay pitit ou.,education
123,en,ht,Lost and found is in the office.,Objè pèdi yo nan biwo a.,education
124,en,ht,Textbooks were issued today.,Nou bay liv jodi a.,education
125,en,ht,Books must be returned.,Liv yo dwe retounen.,education
126,en,ht,Library day is Friday.,Jou bibliyotèk la se vandredi.,education
127,en,ht,Technology devices are assigned.,Nou bay aparèy teknoloji.,education
128,en,ht,Devices must be charged.,Aparèy yo dwe chaje.,education
129,en,ht,Internet access is required.,Aksè entènèt obligatwa.,education
130,en,ht,Please monitor screen time.,Tanpri siveye tan ekran.,education
131,en,ht,Testing will begin next week.,Egzamen ap kòmanse semèn pwochèn.,education
132,en,ht,Attendance is important.,Prezans enpòtan.,education
133,en,ht,Please ensure your child is present.,Tanpri asire pitit ou vini.,education
134,en,ht,Make-up work is available.,Gen travay ratrapaj.,education
135,en,ht,Report cards will be sent home.,Bilten yo pral voye lakay.,education
136,en,ht,Grades are available online.,Nòt yo disponib sou entènèt.,education
137,en,ht,Progress reports are attached.,Rapò pwogrè yo annèks.,education
138,en,ht,Please review the report.,Tanpri revize rapò a.,education
139,en,ht,Contact the teacher with concerns.,Kontakte pwofesè a si gen enkyetid.,education
140,en,ht,We value parent feedback.,Nou apresye opinyon paran.,education
141,en,ht,Volunteers are welcome.,Volontè yo byenveni.,education
142,en,ht,Sign up to volunteer.,Enskri pou fè volontarya.,education
143,en,ht,Background checks are required.,Verifikasyon obligatwa.,education
144,en,ht,School events are coming up.,Gen evènman lekòl k ap vini.,education
145,en,ht,You are invited.,Ou envite.,education
146,en,ht,Families are welcome.,Fanmi yo byenveni.,education
147,en,ht,Please RSVP.,Tanpri konfime prezans ou.,education
148,en,ht,The event is free.,Evènman an gratis.,education
149,en,ht,Food will be provided.,Ap gen manje.,education
150,en,ht,Parking is available.,Gen pakin.,education
151,en,ht,School policies must be followed.,Règleman lekòl la dwe respekte.,education
152,en,ht,Please review the handbook.,Tanpri li manyèl la.,education
153,en,ht,The code of conduct applies.,Kòd konduit la aplike.,education
154,en,ht,Bullying is not tolerated.,Nou pa tolere entimidasyon.,education
155,en,ht,Report concerns immediately.,Rapòte pwoblèm touswit.,education
156,en,ht,Student safety is our priority.,Sekirite elèv yo se priyorite nou.,education
157,en,ht,Visitors must check in.,Vizitè dwe enskri.,education
158,en,ht,ID is required.,Kat idantite obligatwa.,education
159,en,ht,Doors are locked during school hours.,Pòt yo fèmen pandan lè lekòl.,education
160,en,ht,Thank you for keeping our school safe.,Mèsi paske w ede kenbe lekòl la an sekirite.,education
161,en,ht,Weather conditions may affect school.,Move tan ka afekte lekòl.,education
162,en,ht,Check local updates.,Tcheke nouvèl lokal yo.,education
163,en,ht,Remote learning will be used.,N ap itilize aprantisaj a distans.,education
164,en,ht,Log in to your child’s account.,Konekte sou kont pitit ou.,education
165,en,ht,Technical support is available.,Gen sipò teknik.,education
166,en,ht,Contact IT support.,Kontakte sipò teknik.,education
167,en,ht,Lessons will be recorded.,Leson yo ap anrejistre.,education
168,en,ht,Assignments are posted online.,Travay yo sou entènèt.,education
169,en,ht,Attendance will be taken.,N ap pran prezans.,education
170,en,ht,Participation is expected.,Patisipasyon obligatwa.,education
171,en,ht,We appreciate your partnership.,Nou apresye patenarya ou.,education
172,en,ht,Thank you for supporting your child.,Mèsi paske w sipòte pitit ou.,education
173,en,ht,Your involvement matters.,Patisipasyon ou enpòtan.,education
174,en,ht,Together we help students succeed.,Ansanm nou ede elèv reyisi.,education
175,en,ht,Please stay connected.,Tanpri rete konekte.,education
176,en,ht,Follow us for updates.,Swiv nou pou nouvèl.,education
177,en,ht,School contact information below.,Enfòmasyon kontak lekòl anba a.,education
178,en,ht,Office hours are listed.,Lè biwo yo make.,education
179,en,ht,Do not reply to this message.,Pa reponn mesaj sa a.,education
180,en,ht,This is an automated message.,Sa a se yon mesaj otomatik.,education
181,en,ht,Please confirm receipt.,Tanpri konfime resepsyon.,education
182,en,ht,Message sent successfully.,Mesaj la voye avèk siksè.,education
183,en,ht,We will follow up.,N ap fè swivi.,education
184,en,ht,More information will follow.,Plis enfòmasyon ap vini.,education
185,en,ht,Thank you for your time.,Mèsi pou tan ou.,education
186,en,ht,We are committed to your child’s success.,Nou angaje pou siksè pitit ou.,education
187,en,ht,This concludes the message.,Mesaj la fini.,education
188,en,ht,Please save this information.,Tanpri konsève enfòmasyon sa a.,education
189,en,ht,Share this with other parents.,Pataje sa ak lòt paran.,education
190,en,ht,Contact us if you need help.,Kontakte nou si w bezwen èd.,education
191,en,ht,Thank you for being part of our school community.,Mèsi paske w fè pati kominote lekòl la.,education
192,en,ht,We are here to help.,Nou la pou ede.,education
193,en,ht,Your child’s education is important.,Edikasyon pitit ou enpòtan.,education
194,en,ht,Please work with us.,Tanpri travay avèk nou.,education
195,en,ht,We value communication.,Nou bay kominikasyon anpil valè.,education
196,en,ht,Let us know if you have concerns.,Fè nou konnen si w gen enkyetid.,education
197,en,ht,This message was sent by the school.,Lekòl la voye mesaj sa a.,education
198,en,ht,Keep this for your records.,Kenbe sa pou dosye ou.,education
199,en,ht,We appreciate your trust.,Nou apresye konfyans ou.,education
200,en,ht,Thank you.,Mèsi.,education
201,en,ht,Please update your child’s emergency card.,Tanpri mete kat ijans pitit ou ajou.,education
202,en,ht,Emergency drills will take place this week.,Egzèsis ijans ap fèt semèn sa a.,education
203,en,ht,This is a routine safety drill.,Sa a se yon egzèsis sekirite nòmal.,education
204,en,ht,Students practiced evacuation procedures.,Elèv yo pratike pwosedi evakyasyon.,education
205,en,ht,No action is needed from parents.,Pa gen okenn aksyon paran bezwen pran.,education
206,en,ht,The school day will follow a modified schedule.,Jounen lekòl la ap swiv yon orè modifye.,education
207,en,ht,Some classes may be combined.,Kèk klas ka mete ansanm.,education
208,en,ht,Substitute teachers will be present.,Ap gen pwofesè ranplasman.,education
209,en,ht,Instruction will continue as planned.,Ansèyman ap kontinye jan li te planifye.,education
210,en,ht,Thank you for your understanding.,Mèsi pou konpreyansyon ou.,education
211,en,ht,Your child participated actively today.,Pitit ou te patisipe aktivman jodi a.,education
212,en,ht,Class participation is encouraged.,Patisipasyon nan klas ankouraje.,education
213,en,ht,Please encourage daily reading.,Tanpri ankouraje lekti chak jou.,education
214,en,ht,Reading logs must be signed.,Jounal lekti yo dwe siyen.,education
215,en,ht,Math practice is recommended.,Pratik matematik rekòmande.,education
216,en,ht,Practice materials were sent home.,Nou voye materyèl pratik lakay.,education
217,en,ht,Your child asked thoughtful questions.,Pitit ou poze bon kesyon.,education
218,en,ht,Independent work skills are improving.,Konpetans travay endepandan ap amelyore.,education
219,en,ht,Focus during class needs improvement.,Konsantrasyon nan klas bezwen amelyore.,education
220,en,ht,Please review classroom expectations.,Tanpri revize atant klas la.,education
221,en,ht,Your child completed the assignment.,Pitit ou fini travay la.,education
222,en,ht,The assignment was incomplete.,Travay la pa t konplè.,education
223,en,ht,Late work was accepted.,Nou aksepte travay anreta.,education
224,en,ht,Extra credit opportunities are available.,Gen opòtinite pwen siplemantè.,education
225,en,ht,Group projects will begin soon.,Pwojè an gwoup ap kòmanse byento.,education
226,en,ht,Students will work in pairs.,Elèv yo ap travay an pè.,education
227,en,ht,Presentations are scheduled.,Prezantasyon yo pwograme.,education
228,en,ht,Public speaking skills are taught.,Nou anseye konpetans pale an piblik.,education
229,en,ht,Creativity is encouraged.,Kreyativite ankouraje.,education
230,en,ht,Effort is more important than perfection.,Efò pi enpòtan pase pèfeksyon.,education
231,en,ht,Please ensure regular attendance.,Tanpri asire prezans regilye.,education
232,en,ht,Chronic absences affect learning.,Absans repete afekte aprantisaj.,education
233,en,ht,Excused absences require documentation.,Absans jistifye bezwen dokiman.,education
234,en,ht,Unexcused absences were recorded.,Nou note absans ki pa jistifye.,education
235,en,ht,Tardiness disrupts instruction.,Anreta deranje ansèyman.,education
236,en,ht,Morning routines help students succeed.,Routin maten ede elèv reyisi.,education
237,en,ht,Please arrive before the bell.,Tanpri rive anvan klòch la.,education
238,en,ht,Doors close after the start time.,Pòt yo fèmen apre lè kòmansman.,education
239,en,ht,Sign-in is required after arrival.,Enskripsyon obligatwa apre arive.,education
240,en,ht,Thank you for supporting punctuality.,Mèsi paske w sipòte ponktyalite.,education
241,en,ht,School uniforms must be clean.,Inifòm lekòl yo dwe pwòp.,education
242,en,ht,Hair and accessories should be appropriate.,Cheve ak akseswa dwe apwopriye.,education
243,en,ht,Hats are not allowed indoors.,Chapo pa otorize andedan.,education
244,en,ht,Outerwear should be weather appropriate.,Rad deyò dwe adapte ak tan an.,education
245,en,ht,Personal items should stay at home.,Objè pèsonèl dwe rete lakay.,education
246,en,ht,Toys are not permitted at school.,Jwèt pa pèmèt nan lekòl.,education
247,en,ht,Electronic devices must be turned off.,Aparèy elektwonik dwe etenn.,education
248,en,ht,Phones are collected during class.,Nou ranmase telefòn pandan klas.,education
249,en,ht,Lost items are not the school’s responsibility.,Lekòl la pa responsab objè pèdi.,education
250,en,ht,Please remind students of these rules.,Tanpri raple elèv yo règ sa yo.,education
251,en,ht,Transportation changes must be in writing.,Chanjman transpò dwe ekri.,education
252,en,ht,Same-day changes are not guaranteed.,Chanjman menm jou pa garanti.,education
253,en,ht,Only authorized adults may pick up students.,Se sèlman granmoun otorize ki ka pran elèv.,education
254,en,ht,Photo ID will be checked.,Y ap verifye kat idantite.,education
255,en,ht,Bus routes have been updated.,Wout bis yo mete ajou.,education
256,en,ht,Expect minor delays.,Atann ti reta.,education
257,en,ht,Traffic conditions may vary.,Kondisyon sikilasyon ka varye.,education
258,en,ht,Please follow dismissal procedures.,Tanpri swiv pwosedi sòti yo.,education
259,en,ht,Students must remain supervised.,Elèv yo dwe toujou anba sipèvizyon.,education
260,en,ht,Safety during dismissal is important.,Sekirite lè sòti enpòtan.,education
261,en,ht,Meals meet nutrition guidelines.,Manje yo respekte gid nitrisyon.,education
262,en,ht,Breakfast is served daily.,Nou bay dejene chak jou.,education
263,en,ht,Please arrive early for breakfast.,Tanpri rive bonè pou dejene.,education
264,en,ht,Special dietary needs are accommodated.,Nou pran an kont bezwen alimantè espesyal.,education
265,en,ht,Submit dietary requests in advance.,Soumèt demann alimantè davans.,education
266,en,ht,Snacks must be healthy.,Goute yo dwe an sante.,education
267,en,ht,Food sharing is not allowed.,Pataje manje pa pèmèt.,education
268,en,ht,Handwashing is encouraged before meals.,Nou ankouraje lave men anvan manje.,education
269,en,ht,Classroom celebrations follow guidelines.,Selebrasyon klas swiv direktiv.,education
270,en,ht,Contact the school for questions about meals.,Kontakte lekòl la pou kesyon sou manje.,education
271,en,ht,Teachers are available by appointment.,Pwofesè yo disponib sou randevou.,education
272,en,ht,Please respect teacher office hours.,Tanpri respekte lè biwo pwofesè yo.,education
273,en,ht,Email is the preferred contact method.,Imèl se mwayen kontak prefere.,education
274,en,ht,Allow 24 hours for a response.,Tanpri bay 24 èdtan pou repons.,education
275,en,ht,Messages sent after hours will be answered next day.,Mesaj apre lè yo ap reponn denmen.,education
276,en,ht,Urgent matters should be called in.,Kesyon ijan dwe rele.,education
277,en,ht,Clear communication helps everyone.,Kominikasyon klè ede tout moun.,education
278,en,ht,We encourage respectful dialogue.,Nou ankouraje dyalòg respè.,education
279,en,ht,Concerns will be addressed promptly.,Nou pral trete enkyetid yo vit.,education
280,en,ht,Thank you for communicating with us.,Mèsi paske w kominike avèk nou.,education
281,en,ht,Student records are confidential.,Dosye elèv yo konfidansyèl.,education
282,en,ht,Privacy laws protect student information.,Lwa sou vi prive pwoteje enfòmasyon elèv.,education
283,en,ht,Photos may be taken for school use.,Nou ka pran foto pou itilizasyon lekòl.,education
284,en,ht,Media consent is required.,Konsantman medya obligatwa.,education
285,en,ht,Opt-out forms are available.,Gen fòm pou refize.,education
286,en,ht,Student work may be displayed.,Travay elèv yo ka ekspoze.,education
287,en,ht,Online platforms are secure.,Platfòm sou entènèt yo an sekirite.,education
288,en,ht,Passwords should not be shared.,Modpas pa dwe pataje.,education
289,en,ht,Report any security concerns.,Rapòte nenpòt pwoblèm sekirite.,education
290,en,ht,Thank you for protecting student privacy.,Mèsi paske w pwoteje vi prive elèv yo.,education
291,en,ht,Clubs and activities are available.,Gen klib ak aktivite.,education
292,en,ht,After-school activities require permission.,Aktivite apre lekòl bezwen otorizasyon.,education
293,en,ht,Activity schedules are posted.,Orè aktivite yo afiche.,education
294,en,ht,Transportation is not provided for activities.,Pa gen transpò pou aktivite.,education
295,en,ht,Participation builds confidence.,Patisipasyon devlope konfyans.,education
296,en,ht,Encourage your child to get involved.,Ankouraje pitit ou patisipe.,education
297,en,ht,Sports physicals are required.,Egzamen medikal espò obligatwa.,education
298,en,ht,Practice schedules may change.,Orè pratik yo ka chanje.,education
299,en,ht,Games and events are announced in advance.,Nou anonse match ak evènman davans.,education
300,en,ht,Support good sportsmanship.,Sipòte bon lespri espòtif.,education
301,en,ht,School surveys will be sent out.,Nou pral voye sondaj lekòl.,education
302,en,ht,Your feedback helps improve our school.,Opinyon ou ede amelyore lekòl la.,education
303,en,ht,Survey responses are anonymous.,Repons sondaj yo anonim.,education
304,en,ht,Please complete the survey by Friday.,Tanpri ranpli sondaj la anvan vandredi.,education
305,en,ht,Community input is valued.,Opinyon kominote a gen anpil valè.,education
306,en,ht,Town hall meetings are planned.,Reyinyon kominotè pwograme.,education
307,en,ht,Join us for open discussion.,Vin patisipe nan diskisyon ouvè.,education
308,en,ht,All voices are welcome.,Tout vwa yo byenveni.,education
309,en,ht,We strive for continuous improvement.,Nou vize amelyorasyon kontinyèl.,education
310,en,ht,Thank you for helping us grow.,Mèsi paske w ede nou grandi.,education
311,en,ht,Academic goals were reviewed.,Nou revize objektif akademik yo.,education
312,en,ht,Individual learning plans are in place.,Gen plan aprantisaj endividyèl.,education
313,en,ht,Support services are available.,Gen sèvis sipò disponib.,education
314,en,ht,Counseling services are offered.,Nou bay sèvis konsèy.,education
315,en,ht,Social-emotional learning is emphasized.,Nou mete aksan sou aprantisaj sosyal-emosyonèl.,education
316,en,ht,Students practice conflict resolution.,Elèv yo pratike rezolisyon konfli.,education
317,en,ht,Positive relationships are encouraged.,Relasyon pozitif ankouraje.,education
318,en,ht,Mental health resources are available.,Gen resous sante mantal.,education
319,en,ht,Reach out if your child needs support.,Kontakte nou si pitit ou bezwen sipò.,education
320,en,ht,We care about student well-being.,Nou pran byennèt elèv yo oserye.,education
321,en,ht,Classroom materials are provided.,Materyèl klas yo disponib.,education
322,en,ht,Students should take care of supplies.,Elèv yo dwe pran swen founiti yo.,education
323,en,ht,Damaged materials may need replacement.,Materyèl domaje ka bezwen ranplasman.,education
324,en,ht,Shared spaces must be respected.,Espas pataje yo dwe respekte.,education
325,en,ht,Clean-up routines are taught.,Nou anseye woutin netwayaj.,education
326,en,ht,Responsibility is part of learning.,Responsablite fè pati aprantisaj.,education
327,en,ht,Classroom rules are reviewed regularly.,Nou revize règ klas yo regilyèman.,education
328,en,ht,Consistency helps students succeed.,Konsistans ede elèv reyisi.,education
329,en,ht,Positive reinforcement is used.,Nou itilize ranfòsman pozitif.,education
330,en,ht,Thank you for reinforcing expectations at home.,Mèsi paske w ranfòse atant yo lakay.,education
331,en,ht,The school calendar has been updated.,Kalandriye lekòl la mete ajou.,education
332,en,ht,Please mark important dates.,Tanpri make dat enpòtan yo.,education
333,en,ht,Schedule changes will be communicated.,Nou pral kominike chanjman orè.,education
334,en,ht,Check the calendar regularly.,Tcheke kalandriye a regilyèman.,education
335,en,ht,Early notice helps with planning.,Avi bonè ede planifikasyon.,education
336,en,ht,School events may be rescheduled.,Evènman lekòl yo ka repwograme.,education
337,en,ht,Weather-related updates will be shared.,Nou pral pataje nouvèl sou move tan.,education
338,en,ht,Please rely on official school messages.,Tanpri fye sou mesaj ofisyèl lekòl.,education
339,en,ht,Avoid spreading unconfirmed information.,Evite pataje enfòmasyon pa konfime.,education
340,en,ht,Thank you for staying informed.,Mèsi paske w rete enfòme.,education
341,en,ht,The school promotes inclusion.,Lekòl la ankouraje enklizyon.,education
342,en,ht,Diversity is respected and celebrated.,Nou respekte epi selebre divèsite.,education
343,en,ht,All students deserve respect.,Tout elèv merite respè.,education
344,en,ht,Inclusive language is encouraged.,Nou ankouraje langaj enklizif.,education
345,en,ht,Cultural awareness is part of learning.,Konsyans kiltirèl fè pati aprantisaj.,education
346,en,ht,Students learn to value differences.,Elèv yo aprann bay diferans valè.,education
347,en,ht,Families from all backgrounds are welcome.,Fanmi tout orijin byenveni.,education
348,en,ht,Community partnerships strengthen learning.,Patenarya kominotè ranfòse aprantisaj.,education
349,en,ht,Respectful behavior is expected from all.,Konpòtman respè atann nan men tout moun.,education
350,en,ht,Thank you for supporting an inclusive school.,Mèsi paske w sipòte yon lekòl enklizif.,education
351,en,ht,End-of-year activities are approaching.,Aktivite fen ane ap pwoche.,education
352,en,ht,Promotion ceremonies are planned.,Seremoni pwomosyon pwograme.,education
353,en,ht,Graduation details will be shared soon.,Detay gradyasyon ap vini byento.,education
354,en,ht,Tickets may be required for events.,Tikè ka obligatwa pou evènman.,education
355,en,ht,Dress guidelines will be provided.,Nou pral bay gid abiman.,education
356,en,ht,Students should arrive early on event days.,Elèv yo dwe rive bonè jou evènman.,education
357,en,ht,Photography guidelines will apply.,Gid fotografi ap aplike.,education
358,en,ht,Celebrations should remain respectful.,Selebrasyon yo dwe rete respè.,education
359,en,ht,Thank you for celebrating student achievements.,Mèsi paske w selebre reyalizasyon elèv yo.,education
360,en,ht,We are proud of our students.,Nou fyè de elèv nou yo.,education
361,en,ht,Summer learning opportunities are available.,Gen opòtinite aprantisaj ete.,education
362,en,ht,Optional enrichment programs are offered.,Nou ofri pwogram anrichisman opsyonèl.,education
363,en,ht,Registration for summer programs is open.,Enskripsyon pou pwogram ete ouvè.,education
364,en,ht,Learning continues beyond the school year.,Aprantisaj kontinye apre ane lekòl.,education
365,en,ht,Encourage reading over the summer.,Ankouraje lekti pandan ete.,education
366,en,ht,Practice skills regularly.,Pratike konpetans regilyèman.,education
367,en,ht,Maintain daily routines.,Kenbe woutin chak jou.,education
368,en,ht,Stay connected with school updates.,Rete konekte ak nouvèl lekòl.,education
369,en,ht,Contact us with summer questions.,Kontakte nou pou kesyon ete.,education
370,en,ht,We wish you a safe and restful break.,Nou swete ou yon poz san danje.,education
371,en,ht,Thank you for a successful school year.,Mèsi pou yon ane lekòl reyisi.,education
372,en,ht,Your partnership made a difference.,Patenarya ou fè diferans.,education
373,en,ht,We appreciate your continued support.,Nou apresye sipò kontinyèl ou.,education
374,en,ht,Our school community is stronger together.,Kominote lekòl nou pi fò ansanm.,education
375,en,ht,We look forward to the coming year.,Nou gade avni ane k ap vini an.,education
376,en,ht,Please watch for back-to-school information.,Tanpri tann enfòmasyon retou lekòl.,education
377,en,ht,Important updates will be shared soon.,Nouvèl enpòtan ap vini byento.,education
378,en,ht,Enjoy your time with family.,Pase bon moman ak fanmi.,education
379,en,ht,Stay safe and healthy.,Rete an sekirite ak an sante.,education
380,en,ht,Thank you for being part of our journey.,Mèsi paske w fè pati vwayaj nou.,education
381,en,ht,This message contains general information.,Mesaj sa a gen enfòmasyon jeneral.,education
382,en,ht,Details may change as needed.,Detay yo ka chanje si sa nesesè.,education
383,en,ht,Please keep messages for reference.,Tanpri kenbe mesaj yo kòm referans.,education
384,en,ht,Updates will be sent through official channels.,Nou pral voye nouvèl atravè chanèl ofisyèl.,education
